index;time;month;year;day;DMA;Saint_Paul;Saint_Patrick;Saint_John;Saint_Peter;Saint_David;Saint_George;Saint_Andrew;Saint_Joseph;Saint_Mark;Saint_Luke
678;2752;7;1957;15;364.11906367007236;372.8;372.8;345.0;355.10557064674646;371.92485023515104;372.8;349.8600758143463;372.75660579015437;372.8;372.8
679;2783;8;1957;15;387.01198730873233;394.6;394.6;370.3;379.1332865725158;393.83503096094137;394.6;374.54819576577756;394.5620690899551;394.6;394.6
680;2814;9;1957;15;243.1093429524442;247.20000000000002;247.20000000000002;234.10000000000002;238.86197753497765;246.78760928347046;247.20000000000002;236.39017961035745;247.17955164931737;247.20000000000002;247.20000000000002
681;2844;10;1957;15;443.0640650172445;453.40000000000003;453.40000000000003;420.3;432.33217224486714;452.3580051360971;453.40000000000003;426.0866370307505;453.3483327933133;453.40000000000003;453.40000000000003
682;2875;11;1957;15;455.30264435628817;458.8;458.8;447.6;451.67130903753815;458.4474216774709;458.8;449.55801615542015;458.7825174406377;458.8;458.8
683;2905;12;1957;15;457.2329398047248;476.0;476.0;415.90000000000003;437.74693510321794;474.10803953714304;476.0;426.4068545482811;475.9061873377078;476.0;476.0
684;2936;1;1958;15;129.3610428957723;135.70000000000002;135.70000000000002;115.4;122.77924763053784;135.06095179041606;135.70000000000002;118.94890428169893;135.66831286115593;135.70000000000002;135.70000000000002
685;2967;2;1958;15;69.10480977023592;67.2;67.2;73.3;71.08259061348372;67.39202926494887;67.2;72.23358048678013;67.20952175108123;67.2;67.2
686;2995;3;1958;15;27.747166761119836;24.0;24.0;36.0;31.637883174066307;24.377762488424022;24.0;33.902125547764186;24.018731313602423;24.0;24.0
687;3026;4;1958;15;403.4384039281724;412.90000000000003;412.90000000000003;382.6;393.61434498548266;411.94614971672934;412.90000000000003;387.8971329918955;412.8527034331539;412.90000000000003;412.90000000000003
688;3056;5;1958;15;646.494434699396;647.4000000000001;647.4000000000001;644.5;645.5541782329341;647.3087073986309;647.4000000000001;645.0069863259571;647.3954732658794;647.4000000000001;647.4000000000001
