index;time;month;year;day;Bodden_Town;Cayman_Brac;West_Bay;Little_Cayman;East_End;George_Town;CYM;North_Side
26;-17094;3;1903;15;43.2;9.969209968386869e+36;43.2;9.969209968386869e+36;43.2;43.2;2.7616445185384824e+36;43.2
27;-17063;4;1903;15;9.700000000000001;9.969209968386869e+36;9.700000000000001;9.969209968386869e+36;9.700000000000001;9.700000000000001;2.7616445185384824e+36;9.700000000000001
28;-17033;5;1903;15;214.10000000000002;9.969209968386869e+36;214.10000000000002;9.969209968386869e+36;214.10000000000002;214.10000000000002;2.7616445185384824e+36;214.10000000000002
29;-17002;6;1903;15;139.5;9.969209968386869e+36;139.5;9.969209968386869e+36;139.5;139.5;2.7616445185384824e+36;139.5
30;-16972;7;1903;15;132.6;9.969209968386869e+36;132.6;9.969209968386869e+36;132.6;132.6;2.7616445185384824e+36;132.6
31;-16941;8;1903;15;165.4;9.969209968386869e+36;165.4;9.969209968386869e+36;165.4;165.4;2.7616445185384824e+36;165.4
32;-16910;9;1903;15;129.5;9.969209968386869e+36;129.5;9.969209968386869e+36;129.5;129.5;2.7616445185384824e+36;129.5
33;-16880;10;1903;15;128.6;9.969209968386869e+36;128.6;9.969209968386869e+36;128.6;128.6;2.7616445185384824e+36;128.6
34;-16849;11;1903;15;142.0;9.969209968386869e+36;142.0;9.969209968386869e+36;142.0;142.0;2.7616445185384824e+36;142.0
35;-16819;12;1903;15;74.2;9.969209968386869e+36;74.2;9.969209968386869e+36;74.2;74.2;2.7616445185384824e+36;74.2
36;-16788;1;1904;15;40.800000000000004;9.969209968386869e+36;40.800000000000004;9.969209968386869e+36;40.800000000000004;40.800000000000004;2.7616445185384824e+36;40.800000000000004
37;-16757;2;1904;15;28.3;9.969209968386869e+36;28.3;9.969209968386869e+36;28.3;28.3;2.7616445185384824e+36;28.3
38;-16728;3;1904;15;23.700000000000003;9.969209968386869e+36;23.700000000000003;9.969209968386869e+36;23.700000000000003;23.700000000000003;2.7616445185384824e+36;23.700000000000003
39;-16697;4;1904;15;10.4;9.969209968386869e+36;10.4;9.969209968386869e+36;10.4;10.4;2.7616445185384824e+36;10.4
40;-16667;5;1904;15;115.60000000000001;9.969209968386869e+36;115.60000000000001;9.969209968386869e+36;115.60000000000001;115.60000000000001;2.7616445185384824e+36;115.60000000000001
41;-16636;6;1904;15;205.5;9.969209968386869e+36;205.5;9.969209968386869e+36;205.5;205.5;2.7616445185384824e+36;205.5
42;-16606;7;1904;15;118.2;9.969209968386869e+36;118.2;9.969209968386869e+36;118.2;118.2;2.7616445185384824e+36;118.2
