index;time;month;year;day;Sud;L'Artibonite;Centre;Nippes;Sud-Est;Ouest;HTI;Nord-Est;Nord-Ouest;Nord;Grand'Anse
812;6832;9;1968;15;26.39576905603972;25.58569962767512;24.660427988352755;26.84107585179729;25.42396180180223;4.4181474038020315e+29;5.712879423450801e+29;26.00451606727584;4.19471096904302e+30;25.737529245654713;2.3095342854042384e+30
813;6862;10;1968;15;25.916179790313098;25.50211188691654;24.489938042624715;26.3412989063118;25.00285519618284;4.4181474038020315e+29;5.712879423450801e+29;26.064143084374706;4.19471096904302e+30;25.82703638447463;2.3095342854042384e+30
814;6893;11;1968;15;24.969483341049667;24.62743559555829;23.659514140586843;25.354222877773566;24.146651684582075;4.4181474038020315e+29;5.712879423450801e+29;25.008654939401303;4.19471096904302e+30;24.763037482352292;2.3095342854042384e+30
815;6923;12;1968;15;23.38988815094083;22.588074707133654;21.724198804876963;23.75101956602724;22.35982345797363;4.4181474038020315e+29;5.712879423450801e+29;22.697944068824057;4.19471096904302e+30;22.61454036848267;2.3095342854042384e+30
816;6954;1;1969;15;23.03731013831382;22.137162360510548;21.130436604977703;23.29217532740601;21.91488682906523;4.4181474038020315e+29;5.712879423450801e+29;22.357571085922924;4.19471096904302e+30;22.336556420184262;2.3095342854042384e+30
817;6985;2;1969;15;23.189887492676135;22.139698467922006;21.425112652642873;23.52077808762142;22.295173354509387;4.4181474038020315e+29;5.712879423450801e+29;22.287387185299345;4.19471096904302e+30;22.141021430650696;2.3095342854042384e+30
818;7013;3;1969;15;24.889887492676138;23.777004275206693;23.12535331719442;25.24200684380741;23.947280065455598;4.4181474038020315e+29;5.712879423450801e+29;23.91724048602541;4.19471096904302e+30;23.68375694925956;2.3095342854042384e+30
819;7044;4;1969;15;25.6161797903131;25.138217248227637;24.236482550967164;26.053403413020703;24.78672676264591;4.4181474038020315e+29;5.712879423450801e+29;25.4044788659262;4.19471096904302e+30;25.13176765039396;2.3095342854042384e+30
820;7074;5;1969;15;26.216178473783717;25.620694384910745;24.73067726952925;26.643944581771848;25.268386671074985;4.4181474038020315e+29;5.712879423450801e+29;25.91503574945091;4.19471096904302e+30;25.68903213178509;2.3095342854042384e+30
821;7105;6;1969;15;26.389890783999597;25.88454974739367;24.983459577972432;26.790424870643022;25.41130178804632;4.4181474038020315e+29;5.712879423450801e+29;26.374662766549775;4.19471096904302e+30;26.178539270605008;2.3095342854042384e+30
822;7135;7;1969;15;26.789888150940833;25.858000243803595;24.984373425738344;27.187444613411213;25.763408498992536;4.4181474038020315e+29;5.712879423450801e+29;26.34492625152661;4.19471096904302e+30;26.037529245654717;2.3095342854042384e+30
823;7166;8;1969;15;26.74246616356784;25.992892055741056;25.130677269529247;27.216047373626616;25.84790844632912;4.4181474038020315e+29;5.712879423450801e+29;26.35544593370168;4.19471096904302e+30;26.08903213178509;2.3095342854042384e+30
824;7197;9;1969;15;26.495770372569098;25.847232650622814;24.936482550967167;26.953291885763452;25.623333420928702;4.4181474038020315e+29;5.712879423450801e+29;26.291717245826987;4.19471096904302e+30;25.96352389508752;2.3095342854042384e+30
