index;time;month;year;day;Sud;L'Artibonite;Centre;Nippes;Sud-Est;Ouest;HTI;Nord-Est;Nord-Ouest;Nord;Grand'Anse
12;-17518;1;1902;15;77.337210271156;31.823574288078216;30.93624535566459;66.3595823900479;63.26261341393529;4.4181474038020315e+29;5.712879423450801e+29;63.9189744681447;4.19471096904302e+30;95.35087070689815;2.3095342854042384e+30
13;-17487;2;1902;15;64.43649978820119;28.255113832007574;32.46647654825959;54.29604916034215;43.799582001198786;4.4181474038020315e+29;5.712879423450801e+29;53.16399498713053;4.19471096904302e+30;71.54135870544167;2.3095342854042384e+30
14;-17459;3;1902;15;192.0022117525545;72.09582404331562;88.46694263944352;160.59812834007687;161.78554529467056;4.4181474038020315e+29;5.712879423450801e+29;79.2372027678415;4.19471096904302e+30;129.40932055335412;2.3095342854042384e+30
15;-17428;4;1902;15;119.63918515273053;66.8903687310137;89.89761719034416;105.36273578109136;141.47783769707104;4.4181474038020315e+29;5.712879423450801e+29;67.5796553631211;4.19471096904302e+30;89.51182626610776;2.3095342854042384e+30
16;-17398;5;1902;15;428.87869273539826;260.0504919940649;346.32832994650647;368.89800910056596;412.98115724537996;4.4181474038020315e+29;5.712879423450801e+29;252.0225604477226;4.19471096904302e+30;271.4906201065007;2.3095342854042384e+30
17;-17367;6;1902;15;376.84726468377863;289.861100122182;322.06267517192157;327.2260983453688;293.54050831815806;4.4181474038020315e+29;5.712879423450801e+29;243.79950017121263;4.19471096904302e+30;263.12470034692785;2.3095342854042384e+30
18;-17337;7;1902;15;61.44493819957854;69.16184102437744;69.61417900508883;61.01729056678902;60.08464123884434;4.4181474038020315e+29;5.712879423450801e+29;52.05546024689774;4.19471096904302e+30;56.7907548255478;2.3095342854042384e+30
19;-17306;8;1902;15;107.85646612656637;92.48390679233133;116.56158439989916;110.78261480770892;112.9302795057985;4.4181474038020315e+29;5.712879423450801e+29;77.8961897782115;4.19471096904302e+30;79.54702683887996;2.3095342854042384e+30
20;-17275;9;1902;15;54.07733996385197;69.94994665319096;76.54977896549303;49.34669303490703;63.250713082069936;4.4181474038020315e+29;5.712879423450801e+29;63.05794108010623;4.19471096904302e+30;72.29287329078855;2.3095342854042384e+30
21;-17245;10;1902;15;204.6099214537102;102.19679808424121;116.35651831827447;160.31294739851054;129.57956017403922;4.4181474038020315e+29;5.712879423450801e+29;108.65463689649386;4.19471096904302e+30;126.26730874105674;2.3095342854042384e+30
22;-17214;11;1902;15;82.15962813792417;53.32462133470788;54.3525918712168;68.13002330685694;78.73356523850197;4.4181474038020315e+29;5.712879423450801e+29;86.28203175826373;4.19471096904302e+30;125.23951831867788;2.3095342854042384e+30
23;-17184;12;1902;15;111.30755136680142;52.824217013634964;44.507533819053194;86.14647851460559;81.97186992714397;4.4181474038020315e+29;5.712879423450801e+29;114.92173985487284;4.19471096904302e+30;170.19785063588859;2.3095342854042384e+30
24;-17153;1;1903;15;32.071917312019714;19.82456869064653;16.5555123919632;28.328018782476892;27.242357205999433;4.4181474038020315e+29;5.712879423450801e+29;39.67790274572754;4.19471096904302e+30;61.817017595360724;2.3095342854042384e+30
25;-17122;2;1903;15;17.17217939034955;13.648271413449898;11.530678469318461;14.44499094053602;10.886476495660967;4.4181474038020315e+29;5.712879423450801e+29;24.521035764115883;4.19471096904302e+30;37.02255960468994;2.3095342854042384e+30
26;-17094;3;1903;15;46.3389344858861;26.007528223394072;33.90539415558781;41.529097839042876;52.87252182680935;4.4181474038020315e+29;5.712879423450801e+29;33.09979306852551;4.19471096904302e+30;50.251333545187535;2.3095342854042384e+30
