index;time;month;year;day;Borgou;Collines;BEN;Mono;Kouffo;Atlantique;Donga;Plateau;Atakora;Alibori;Littoral;Oueme;Zou
67;-15845.0;8.0;1906.0;15.0;24.928198;24.88791;25.175714;25.333838;25.175505;25.272606;24.583643;25.133116;25.174173;25.800314;25.2;25.232643;25.180323
68;-15814.0;9.0;1906.0;15.0;26.800396;26.75188;27.09574;26.833838;26.758503;26.772606;26.526976;26.740688;27.141546;27.96118;26.7;26.706648;26.877634
69;-15784.0;10.0;1906.0;15.0;27.424421;27.26806;27.783697;27.201227;27.164421;27.238586;27.046947;27.288145;28.03563;28.854776;27.1;27.177519;27.345827
70;-15753.0;11.0;1906.0;15.0;27.493467;28.17483;27.791668;28.066162;28.141495;28.06844;27.323277;28.259287;27.771608;27.825659;28.0;28.070871;28.357447
71;-15723.0;12.0;1906.0;15.0;27.282238;28.520718;27.596205;28.368618;28.494831;28.534046;27.45024;28.633945;27.567291;26.83821;28.4;28.503513;28.830101
72;-15692.0;1.0;1907.0;15.0;26.26842;27.859879;26.515242;27.598486;27.782997;27.664272;26.644197;27.811377;26.26266;25.33403;27.6;27.632643;28.124855
73;-15661.0;2.0;1907.0;15.0;27.158203;28.15439;27.232834;27.898485;28.000004;27.964272;27.196447;28.173618;26.898785;26.541557;27.9;27.970871;28.245481
74;-15633.0;3.0;1907.0;15.0;29.563494;29.135397;29.622398;28.56739;28.647419;28.636503;29.04386;28.883154;30.000523;30.43683;28.5;28.64174;28.894148
75;-15602.0;4.0;1907.0;15.0;29.81106;28.624472;30.00837;28.3;28.258505;28.270523;28.952116;28.35024;30.662378;31.944159;28.2;28.27087;28.396616
76;-15572.0;5.0;1907.0;15.0;29.626669;28.769375;30.047844;28.5;28.500004;28.470522;28.87443;28.573639;30.645384;32.11538;28.4;28.432642;28.686207
77;-15541.0;6.0;1907.0;15.0;26.787188;26.465023;27.13563;26.435066;26.36442;26.470148;26.25165;26.35657;27.289623;28.534681;26.4;26.394415;26.487593
78;-15511.0;7.0;1907.0;15.0;25.79175;25.65556;26.044678;25.735065;25.664421;25.740671;25.329811;25.739176;26.001867;27.016108;25.6;25.703514;25.84079
79;-15480.0;8.0;1907.0;15.0;25.270325;25.21291;25.484818;25.633839;25.475502;25.572605;24.883825;25.433117;25.419416;26.130114;25.5;25.532642;25.469522
