index;time;month;year;day;ATG;Redonda;Saint_Paul;Saint_Mary;Saint_Philip;Saint_Peter;Saint_John;Saint_George;Barbuda
39;-16697;4;1904;15;6.97270936355577e+33;154.60000000000002;6.544403994150141e+34;158.70000000000002;158.70000000000002;158.70000000000002;158.70000000000002;158.70000000000002;2.9725746036271033e+31
40;-16667;5;1904;15;6.97270936355577e+33;178.4;6.544403994150141e+34;176.3;176.3;176.3;176.3;176.3;2.9725746036271033e+31
41;-16636;6;1904;15;6.97270936355577e+33;124.10000000000001;6.544403994150141e+34;142.20000000000002;142.20000000000002;142.20000000000002;142.20000000000002;142.20000000000002;2.9725746036271033e+31
42;-16606;7;1904;15;6.97270936355577e+33;218.9;6.544403994150141e+34;206.4;206.4;206.4;206.4;206.4;2.9725746036271033e+31
43;-16575;8;1904;15;6.97270936355577e+33;203.5;6.544403994150141e+34;203.3;203.3;203.3;203.3;203.3;2.9725746036271033e+31
44;-16544;9;1904;15;6.97270936355577e+33;385.6;6.544403994150141e+34;333.40000000000003;333.40000000000003;333.40000000000003;333.40000000000003;333.40000000000003;2.9725746036271033e+31
45;-16514;10;1904;15;6.97270936355577e+33;344.20000000000005;6.544403994150141e+34;315.40000000000003;315.40000000000003;315.40000000000003;315.40000000000003;315.40000000000003;2.9725746036271033e+31
46;-16483;11;1904;15;6.97270936355577e+33;264.3;6.544403994150141e+34;278.5;278.5;278.5;278.5;278.5;2.9725746036271033e+31
47;-16453;12;1904;15;6.97270936355577e+33;166.9;6.544403994150141e+34;171.3;171.3;171.3;171.3;171.3;2.9725746036271033e+31
48;-16422;1;1905;15;6.97270936355577e+33;202.4;6.544403994150141e+34;191.3;191.3;191.3;191.3;191.3;2.9725746036271033e+31
49;-16391;2;1905;15;6.97270936355577e+33;95.0;6.544403994150141e+34;98.80000000000001;98.80000000000001;98.80000000000001;98.80000000000001;98.80000000000001;2.9725746036271033e+31
50;-16363;3;1905;15;6.97270936355577e+33;156.10000000000002;6.544403994150141e+34;143.1;143.1;143.1;143.1;143.1;2.9725746036271033e+31
51;-16332;4;1905;15;6.97270936355577e+33;134.0;6.544403994150141e+34;136.5;136.5;136.5;136.5;136.5;2.9725746036271033e+31
52;-16302;5;1905;15;6.97270936355577e+33;195.9;6.544403994150141e+34;200.9;200.9;200.9;200.9;200.9;2.9725746036271033e+31
53;-16271;6;1905;15;6.97270936355577e+33;173.60000000000002;6.544403994150141e+34;170.10000000000002;170.10000000000002;170.10000000000002;170.10000000000002;170.10000000000002;2.9725746036271033e+31
54;-16241;7;1905;15;6.97270936355577e+33;170.4;6.544403994150141e+34;176.20000000000002;176.20000000000002;176.20000000000002;176.20000000000002;176.20000000000002;2.9725746036271033e+31
55;-16210;8;1905;15;6.97270936355577e+33;248.3;6.544403994150141e+34;240.10000000000002;240.10000000000002;240.10000000000002;240.10000000000002;240.10000000000002;2.9725746036271033e+31
56;-16179;9;1905;15;6.97270936355577e+33;320.0;6.544403994150141e+34;288.40000000000003;288.40000000000003;288.40000000000003;288.40000000000003;288.40000000000003;2.9725746036271033e+31
57;-16149;10;1905;15;6.97270936355577e+33;390.0;6.544403994150141e+34;338.6;338.6;338.6;338.6;338.6;2.9725746036271033e+31
58;-16118;11;1905;15;6.97270936355577e+33;337.3;6.544403994150141e+34;310.5;310.5;310.5;310.5;310.5;2.9725746036271033e+31
59;-16088;12;1905;15;6.97270936355577e+33;156.10000000000002;6.544403994150141e+34;170.5;170.5;170.5;170.5;170.5;2.9725746036271033e+31
60;-16057;1;1906;15;6.97270936355577e+33;107.60000000000001;6.544403994150141e+34;115.0;115.0;115.0;115.0;115.0;2.9725746036271033e+31
61;-16026;2;1906;15;6.97270936355577e+33;94.9;6.544403994150141e+34;98.2;98.2;98.2;98.2;98.2;2.9725746036271033e+31
62;-15998;3;1906;15;6.97270936355577e+33;120.80000000000001;6.544403994150141e+34;120.7;120.7;120.7;120.7;120.7;2.9725746036271033e+31
63;-15967;4;1906;15;6.97270936355577e+33;145.8;6.544403994150141e+34;142.70000000000002;142.70000000000002;142.70000000000002;142.70000000000002;142.70000000000002;2.9725746036271033e+31
64;-15937;5;1906;15;6.97270936355577e+33;169.20000000000002;6.544403994150141e+34;172.20000000000002;172.20000000000002;172.20000000000002;172.20000000000002;172.20000000000002;2.9725746036271033e+31
65;-15906;6;1906;15;6.97270936355577e+33;251.8;6.544403994150141e+34;226.5;226.5;226.5;226.5;226.5;2.9725746036271033e+31
66;-15876;7;1906;15;6.97270936355577e+33;279.40000000000003;6.544403994150141e+34;255.60000000000002;255.60000000000002;255.60000000000002;255.60000000000002;255.60000000000002;2.9725746036271033e+31
67;-15845;8;1906;15;6.97270936355577e+33;190.5;6.544403994150141e+34;187.10000000000002;187.10000000000002;187.10000000000002;187.10000000000002;187.10000000000002;2.9725746036271033e+31
68;-15814;9;1906;15;6.97270936355577e+33;456.1;6.544403994150141e+34;389.90000000000003;389.90000000000003;389.90000000000003;389.90000000000003;389.90000000000003;2.9725746036271033e+31
69;-15784;10;1906;15;6.97270936355577e+33;220.9;6.544403994150141e+34;218.20000000000002;218.20000000000002;218.20000000000002;218.20000000000002;218.20000000000002;2.9725746036271033e+31
70;-15753;11;1906;15;6.97270936355577e+33;264.5;6.544403994150141e+34;255.9;255.9;255.9;255.9;255.9;2.9725746036271033e+31
71;-15723;12;1906;15;6.97270936355577e+33;222.10000000000002;6.544403994150141e+34;221.8;221.8;221.8;221.8;221.8;2.9725746036271033e+31
72;-15692;1;1907;15;6.97270936355577e+33;125.80000000000001;6.544403994150141e+34;130.4;130.4;130.4;130.4;130.4;2.9725746036271033e+31
73;-15661;2;1907;15;6.97270936355577e+33;110.10000000000001;6.544403994150141e+34;111.30000000000001;111.30000000000001;111.30000000000001;111.30000000000001;111.30000000000001;2.9725746036271033e+31
74;-15633;3;1907;15;6.97270936355577e+33;111.10000000000001;6.544403994150141e+34;110.5;110.5;110.5;110.5;110.5;2.9725746036271033e+31
75;-15602;4;1907;15;6.97270936355577e+33;125.2;6.544403994150141e+34;128.9;128.9;128.9;128.9;128.9;2.9725746036271033e+31
76;-15572;5;1907;15;6.97270936355577e+33;198.5;6.544403994150141e+34;192.4;192.4;192.4;192.4;192.4;2.9725746036271033e+31
77;-15541;6;1907;15;6.97270936355577e+33;163.0;6.544403994150141e+34;168.10000000000002;168.10000000000002;168.10000000000002;168.10000000000002;168.10000000000002;2.9725746036271033e+31
78;-15511;7;1907;15;6.97270936355577e+33;219.4;6.544403994150141e+34;209.8;209.8;209.8;209.8;209.8;2.9725746036271033e+31
79;-15480;8;1907;15;6.97270936355577e+33;178.70000000000002;6.544403994150141e+34;185.70000000000002;185.70000000000002;185.70000000000002;185.70000000000002;185.70000000000002;2.9725746036271033e+31
80;-15449;9;1907;15;6.97270936355577e+33;229.20000000000002;6.544403994150141e+34;230.5;230.5;230.5;230.5;230.5;2.9725746036271033e+31
81;-15419;10;1907;15;6.97270936355577e+33;289.90000000000003;6.544403994150141e+34;266.1;266.1;266.1;266.1;266.1;2.9725746036271033e+31
82;-15388;11;1907;15;6.97270936355577e+33;233.3;6.544403994150141e+34;242.70000000000002;242.70000000000002;242.70000000000002;242.70000000000002;242.70000000000002;2.9725746036271033e+31
83;-15358;12;1907;15;6.97270936355577e+33;306.90000000000003;6.544403994150141e+34;278.90000000000003;278.90000000000003;278.90000000000003;278.90000000000003;278.90000000000003;2.9725746036271033e+31
84;-15327;1;1908;15;6.97270936355577e+33;164.5;6.544403994150141e+34;163.4;163.4;163.4;163.4;163.4;2.9725746036271033e+31
85;-15296;2;1908;15;6.97270936355577e+33;97.5;6.544403994150141e+34;107.0;107.0;107.0;107.0;107.0;2.9725746036271033e+31
86;-15267;3;1908;15;6.97270936355577e+33;101.5;6.544403994150141e+34;110.0;110.0;110.0;110.0;110.0;2.9725746036271033e+31
87;-15236;4;1908;15;6.97270936355577e+33;128.0;6.544403994150141e+34;129.6;129.6;129.6;129.6;129.6;2.9725746036271033e+31
88;-15206;5;1908;15;6.97270936355577e+33;139.3;6.544403994150141e+34;161.5;161.5;161.5;161.5;161.5;2.9725746036271033e+31
89;-15175;6;1908;15;6.97270936355577e+33;196.20000000000002;6.544403994150141e+34;186.3;186.3;186.3;186.3;186.3;2.9725746036271033e+31
90;-15145;7;1908;15;6.97270936355577e+33;201.70000000000002;6.544403994150141e+34;189.8;189.8;189.8;189.8;189.8;2.9725746036271033e+31
91;-15114;8;1908;15;6.97270936355577e+33;179.0;6.544403994150141e+34;189.4;189.4;189.4;189.4;189.4;2.9725746036271033e+31
92;-15083;9;1908;15;6.97270936355577e+33;325.8;6.544403994150141e+34;301.90000000000003;301.90000000000003;301.90000000000003;301.90000000000003;301.90000000000003;2.9725746036271033e+31
93;-15053;10;1908;15;6.97270936355577e+33;207.9;6.544403994150141e+34;216.0;216.0;216.0;216.0;216.0;2.9725746036271033e+31
94;-15022;11;1908;15;6.97270936355577e+33;228.5;6.544403994150141e+34;247.3;247.3;247.3;247.3;247.3;2.9725746036271033e+31
95;-14992;12;1908;15;6.97270936355577e+33;299.1;6.544403994150141e+34;253.70000000000002;253.70000000000002;253.70000000000002;253.70000000000002;253.70000000000002;2.9725746036271033e+31
96;-14961;1;1909;15;6.97270936355577e+33;123.5;6.544403994150141e+34;124.60000000000001;124.60000000000001;124.60000000000001;124.60000000000001;124.60000000000001;2.9725746036271033e+31
97;-14930;2;1909;15;6.97270936355577e+33;187.0;6.544403994150141e+34;165.60000000000002;165.60000000000002;165.60000000000002;165.60000000000002;165.60000000000002;2.9725746036271033e+31
98;-14902;3;1909;15;6.97270936355577e+33;125.2;6.544403994150141e+34;121.7;121.7;121.7;121.7;121.7;2.9725746036271033e+31
99;-14871;4;1909;15;6.97270936355577e+33;149.1;6.544403994150141e+34;147.0;147.0;147.0;147.0;147.0;2.9725746036271033e+31
100;-14841;5;1909;15;6.97270936355577e+33;170.60000000000002;6.544403994150141e+34;173.0;173.0;173.0;173.0;173.0;2.9725746036271033e+31
101;-14810;6;1909;15;6.97270936355577e+33;260.3;6.544403994150141e+34;237.3;237.3;237.3;237.3;237.3;2.9725746036271033e+31
102;-14780;7;1909;15;6.97270936355577e+33;189.10000000000002;6.544403994150141e+34;184.20000000000002;184.20000000000002;184.20000000000002;184.20000000000002;184.20000000000002;2.9725746036271033e+31
103;-14749;8;1909;15;6.97270936355577e+33;390.0;6.544403994150141e+34;340.5;340.5;340.5;340.5;340.5;2.9725746036271033e+31
104;-14718;9;1909;15;6.97270936355577e+33;239.70000000000002;6.544403994150141e+34;232.9;232.9;232.9;232.9;232.9;2.9725746036271033e+31
105;-14688;10;1909;15;6.97270936355577e+33;290.1;6.544403994150141e+34;269.40000000000003;269.40000000000003;269.40000000000003;269.40000000000003;269.40000000000003;2.9725746036271033e+31
106;-14657;11;1909;15;6.97270936355577e+33;444.6;6.544403994150141e+34;393.8;393.8;393.8;393.8;393.8;2.9725746036271033e+31
107;-14627;12;1909;15;6.97270936355577e+33;164.4;6.544403994150141e+34;167.10000000000002;167.10000000000002;167.10000000000002;167.10000000000002;167.10000000000002;2.9725746036271033e+31
108;-14596;1;1910;15;6.97270936355577e+33;200.8;6.544403994150141e+34;183.8;183.8;183.8;183.8;183.8;2.9725746036271033e+31
109;-14565;2;1910;15;6.97270936355577e+33;139.5;6.544403994150141e+34;123.80000000000001;123.80000000000001;123.80000000000001;123.80000000000001;123.80000000000001;2.9725746036271033e+31
110;-14537;3;1910;15;6.97270936355577e+33;162.4;6.544403994150141e+34;148.8;148.8;148.8;148.8;148.8;2.9725746036271033e+31
111;-14506;4;1910;15;6.97270936355577e+33;103.7;6.544403994150141e+34;125.10000000000001;125.10000000000001;125.10000000000001;125.10000000000001;125.10000000000001;2.9725746036271033e+31
112;-14476;5;1910;15;6.97270936355577e+33;354.1;6.544403994150141e+34;278.5;278.5;278.5;278.5;278.5;2.9725746036271033e+31
113;-14445;6;1910;15;6.97270936355577e+33;162.70000000000002;6.544403994150141e+34;155.9;155.9;155.9;155.9;155.9;2.9725746036271033e+31
114;-14415;7;1910;15;6.97270936355577e+33;215.0;6.544403994150141e+34;202.5;202.5;202.5;202.5;202.5;2.9725746036271033e+31
115;-14384;8;1910;15;6.97270936355577e+33;238.3;6.544403994150141e+34;223.9;223.9;223.9;223.9;223.9;2.9725746036271033e+31
116;-14353;9;1910;15;6.97270936355577e+33;355.1;6.544403994150141e+34;331.70000000000005;331.70000000000005;331.70000000000005;331.70000000000005;331.70000000000005;2.9725746036271033e+31
117;-14323;10;1910;15;6.97270936355577e+33;180.3;6.544403994150141e+34;203.0;203.0;203.0;203.0;203.0;2.9725746036271033e+31
118;-14292;11;1910;15;6.97270936355577e+33;200.8;6.544403994150141e+34;220.9;220.9;220.9;220.9;220.9;2.9725746036271033e+31
119;-14262;12;1910;15;6.97270936355577e+33;204.4;6.544403994150141e+34;207.5;207.5;207.5;207.5;207.5;2.9725746036271033e+31
120;-14231;1;1911;15;6.97270936355577e+33;181.60000000000002;6.544403994150141e+34;169.0;169.0;169.0;169.0;169.0;2.9725746036271033e+31
121;-14200;2;1911;15;6.97270936355577e+33;179.0;6.544403994150141e+34;159.5;159.5;159.5;159.5;159.5;2.9725746036271033e+31
122;-14172;3;1911;15;6.97270936355577e+33;83.4;6.544403994150141e+34;88.80000000000001;88.80000000000001;88.80000000000001;88.80000000000001;88.80000000000001;2.9725746036271033e+31
123;-14141;4;1911;15;6.97270936355577e+33;167.0;6.544403994150141e+34;160.60000000000002;160.60000000000002;160.60000000000002;160.60000000000002;160.60000000000002;2.9725746036271033e+31
124;-14111;5;1911;15;6.97270936355577e+33;231.5;6.544403994150141e+34;219.5;219.5;219.5;219.5;219.5;2.9725746036271033e+31
125;-14080;6;1911;15;6.97270936355577e+33;145.70000000000002;6.544403994150141e+34;149.4;149.4;149.4;149.4;149.4;2.9725746036271033e+31
126;-14050;7;1911;15;6.97270936355577e+33;254.20000000000002;6.544403994150141e+34;233.4;233.4;233.4;233.4;233.4;2.9725746036271033e+31
127;-14019;8;1911;15;6.97270936355577e+33;233.60000000000002;6.544403994150141e+34;222.9;222.9;222.9;222.9;222.9;2.9725746036271033e+31
128;-13988;9;1911;15;6.97270936355577e+33;271.40000000000003;6.544403994150141e+34;256.8;256.8;256.8;256.8;256.8;2.9725746036271033e+31
129;-13958;10;1911;15;6.97270936355577e+33;259.6;6.544403994150141e+34;246.9;246.9;246.9;246.9;246.9;2.9725746036271033e+31
130;-13927;11;1911;15;6.97270936355577e+33;225.0;6.544403994150141e+34;227.4;227.4;227.4;227.4;227.4;2.9725746036271033e+31
131;-13897;12;1911;15;6.97270936355577e+33;395.8;6.544403994150141e+34;343.70000000000005;343.70000000000005;343.70000000000005;343.70000000000005;343.70000000000005;2.9725746036271033e+31
132;-13866;1;1912;15;6.97270936355577e+33;115.30000000000001;6.544403994150141e+34;118.4;118.4;118.4;118.4;118.4;2.9725746036271033e+31
133;-13835;2;1912;15;6.97270936355577e+33;106.80000000000001;6.544403994150141e+34;104.2;104.2;104.2;104.2;104.2;2.9725746036271033e+31
134;-13806;3;1912;15;6.97270936355577e+33;105.2;6.544403994150141e+34;106.0;106.0;106.0;106.0;106.0;2.9725746036271033e+31
135;-13775;4;1912;15;6.97270936355577e+33;204.8;6.544403994150141e+34;189.5;189.5;189.5;189.5;189.5;2.9725746036271033e+31
136;-13745;5;1912;15;6.97270936355577e+33;168.8;6.544403994150141e+34;171.60000000000002;171.60000000000002;171.60000000000002;171.60000000000002;171.60000000000002;2.9725746036271033e+31
137;-13714;6;1912;15;6.97270936355577e+33;164.0;6.544403994150141e+34;163.5;163.5;163.5;163.5;163.5;2.9725746036271033e+31
138;-13684;7;1912;15;6.97270936355577e+33;163.0;6.544403994150141e+34;164.5;164.5;164.5;164.5;164.5;2.9725746036271033e+31
139;-13653;8;1912;15;6.97270936355577e+33;185.0;6.544403994150141e+34;186.3;186.3;186.3;186.3;186.3;2.9725746036271033e+31
140;-13622;9;1912;15;6.97270936355577e+33;226.20000000000002;6.544403994150141e+34;222.60000000000002;222.60000000000002;222.60000000000002;222.60000000000002;222.60000000000002;2.9725746036271033e+31
141;-13592;10;1912;15;6.97270936355577e+33;336.1;6.544403994150141e+34;303.40000000000003;303.40000000000003;303.40000000000003;303.40000000000003;303.40000000000003;2.9725746036271033e+31
142;-13561;11;1912;15;6.97270936355577e+33;358.1;6.544403994150141e+34;328.20000000000005;328.20000000000005;328.20000000000005;328.20000000000005;328.20000000000005;2.9725746036271033e+31
143;-13531;12;1912;15;6.97270936355577e+33;189.20000000000002;6.544403994150141e+34;186.0;186.0;186.0;186.0;186.0;2.9725746036271033e+31
144;-13500;1;1913;15;6.97270936355577e+33;170.10000000000002;6.544403994150141e+34;160.3;160.3;160.3;160.3;160.3;2.9725746036271033e+31
145;-13469;2;1913;15;6.97270936355577e+33;152.8;6.544403994150141e+34;139.4;139.4;139.4;139.4;139.4;2.9725746036271033e+31
146;-13441;3;1913;15;6.97270936355577e+33;142.0;6.544403994150141e+34;134.9;134.9;134.9;134.9;134.9;2.9725746036271033e+31
147;-13410;4;1913;15;6.97270936355577e+33;181.10000000000002;6.544403994150141e+34;171.4;171.4;171.4;171.4;171.4;2.9725746036271033e+31
148;-13380;5;1913;15;6.97270936355577e+33;177.9;6.544403994150141e+34;178.60000000000002;178.60000000000002;178.60000000000002;178.60000000000002;178.60000000000002;2.9725746036271033e+31
149;-13349;6;1913;15;6.97270936355577e+33;168.60000000000002;6.544403994150141e+34;167.0;167.0;167.0;167.0;167.0;2.9725746036271033e+31
150;-13319;7;1913;15;6.97270936355577e+33;179.3;6.544403994150141e+34;176.8;176.8;176.8;176.8;176.8;2.9725746036271033e+31
151;-13288;8;1913;15;6.97270936355577e+33;183.70000000000002;6.544403994150141e+34;185.3;185.3;185.3;185.3;185.3;2.9725746036271033e+31
152;-13257;9;1913;15;6.97270936355577e+33;268.40000000000003;6.544403994150141e+34;254.5;254.5;254.5;254.5;254.5;2.9725746036271033e+31
153;-13227;10;1913;15;6.97270936355577e+33;413.1;6.544403994150141e+34;360.3;360.3;360.3;360.3;360.3;2.9725746036271033e+31
154;-13196;11;1913;15;6.97270936355577e+33;284.0;6.544403994150141e+34;272.1;272.1;272.1;272.1;272.1;2.9725746036271033e+31
155;-13166;12;1913;15;6.97270936355577e+33;181.20000000000002;6.544403994150141e+34;179.9;179.9;179.9;179.9;179.9;2.9725746036271033e+31
156;-13135;1;1914;15;6.97270936355577e+33;130.9;6.544403994150141e+34;130.3;130.3;130.3;130.3;130.3;2.9725746036271033e+31
157;-13104;2;1914;15;6.97270936355577e+33;179.0;6.544403994150141e+34;159.5;159.5;159.5;159.5;159.5;2.9725746036271033e+31
158;-13076;3;1914;15;6.97270936355577e+33;129.6;6.544403994150141e+34;125.10000000000001;125.10000000000001;125.10000000000001;125.10000000000001;125.10000000000001;2.9725746036271033e+31
159;-13045;4;1914;15;6.97270936355577e+33;143.20000000000002;6.544403994150141e+34;142.5;142.5;142.5;142.5;142.5;2.9725746036271033e+31
