index;time;month;year;day;ATG;Redonda;Saint_Paul;Saint_Mary;Saint_Philip;Saint_Peter;Saint_John;Saint_George;Barbuda
465;-3731;10;1939;15;6.97270936355577e+33;25.900000000000002;6.544403994150141e+34;26.8;26.8;26.8;26.8;26.8;2.9725746036271033e+31
466;-3700;11;1939;15;6.97270936355577e+33;25.400000000000002;6.544403994150141e+34;26.3;26.3;26.3;26.3;26.3;2.9725746036271033e+31
467;-3670;12;1939;15;6.97270936355577e+33;24.6;6.544403994150141e+34;25.6;25.6;25.6;25.6;25.6;2.9725746036271033e+31
468;-3639;1;1940;15;6.97270936355577e+33;24.1;6.544403994150141e+34;25.0;25.0;25.0;25.0;25.0;2.9725746036271033e+31
469;-3608;2;1940;15;6.97270936355577e+33;23.8;6.544403994150141e+34;24.8;24.8;24.8;24.8;24.8;2.9725746036271033e+31
470;-3579;3;1940;15;6.97270936355577e+33;24.0;6.544403994150141e+34;25.0;25.0;25.0;25.0;25.0;2.9725746036271033e+31
471;-3548;4;1940;15;6.97270936355577e+33;24.700000000000003;6.544403994150141e+34;25.6;25.6;25.6;25.6;25.6;2.9725746036271033e+31
472;-3518;5;1940;15;6.97270936355577e+33;25.700000000000003;6.544403994150141e+34;26.400000000000002;26.400000000000002;26.400000000000002;26.400000000000002;26.400000000000002;2.9725746036271033e+31
473;-3487;6;1940;15;6.97270936355577e+33;25.8;6.544403994150141e+34;26.5;26.5;26.5;26.5;26.5;2.9725746036271033e+31
474;-3457;7;1940;15;6.97270936355577e+33;25.900000000000002;6.544403994150141e+34;26.6;26.6;26.6;26.6;26.6;2.9725746036271033e+31
475;-3426;8;1940;15;6.97270936355577e+33;26.200000000000003;6.544403994150141e+34;27.0;27.0;27.0;27.0;27.0;2.9725746036271033e+31
476;-3395;9;1940;15;6.97270936355577e+33;26.400000000000002;6.544403994150141e+34;27.200000000000003;27.200000000000003;27.200000000000003;27.200000000000003;27.200000000000003;2.9725746036271033e+31
477;-3365;10;1940;15;6.97270936355577e+33;26.3;6.544403994150141e+34;27.1;27.1;27.1;27.1;27.1;2.9725746036271033e+31
478;-3334;11;1940;15;6.97270936355577e+33;25.6;6.544403994150141e+34;26.5;26.5;26.5;26.5;26.5;2.9725746036271033e+31
479;-3304;12;1940;15;6.97270936355577e+33;24.400000000000002;6.544403994150141e+34;25.3;25.3;25.3;25.3;25.3;2.9725746036271033e+31
480;-3273;1;1941;15;6.97270936355577e+33;23.8;6.544403994150141e+34;24.700000000000003;24.700000000000003;24.700000000000003;24.700000000000003;24.700000000000003;2.9725746036271033e+31
481;-3242;2;1941;15;6.97270936355577e+33;24.5;6.544403994150141e+34;25.5;25.5;25.5;25.5;25.5;2.9725746036271033e+31
482;-3214;3;1941;15;6.97270936355577e+33;24.5;6.544403994150141e+34;25.6;25.6;25.6;25.6;25.6;2.9725746036271033e+31
483;-3183;4;1941;15;6.97270936355577e+33;24.8;6.544403994150141e+34;25.8;25.8;25.8;25.8;25.8;2.9725746036271033e+31
484;-3153;5;1941;15;6.97270936355577e+33;25.700000000000003;6.544403994150141e+34;26.400000000000002;26.400000000000002;26.400000000000002;26.400000000000002;26.400000000000002;2.9725746036271033e+31
485;-3122;6;1941;15;6.97270936355577e+33;25.6;6.544403994150141e+34;26.3;26.3;26.3;26.3;26.3;2.9725746036271033e+31
486;-3092;7;1941;15;6.97270936355577e+33;25.400000000000002;6.544403994150141e+34;26.1;26.1;26.1;26.1;26.1;2.9725746036271033e+31
487;-3061;8;1941;15;6.97270936355577e+33;26.0;6.544403994150141e+34;26.8;26.8;26.8;26.8;26.8;2.9725746036271033e+31
488;-3030;9;1941;15;6.97270936355577e+33;26.0;6.544403994150141e+34;26.8;26.8;26.8;26.8;26.8;2.9725746036271033e+31
489;-3000;10;1941;15;6.97270936355577e+33;26.0;6.544403994150141e+34;26.8;26.8;26.8;26.8;26.8;2.9725746036271033e+31
490;-2969;11;1941;15;6.97270936355577e+33;25.3;6.544403994150141e+34;26.3;26.3;26.3;26.3;26.3;2.9725746036271033e+31
491;-2939;12;1941;15;6.97270936355577e+33;24.6;6.544403994150141e+34;25.6;25.6;25.6;25.6;25.6;2.9725746036271033e+31
492;-2908;1;1942;15;6.97270936355577e+33;24.1;6.544403994150141e+34;25.1;25.1;25.1;25.1;25.1;2.9725746036271033e+31
493;-2877;2;1942;15;6.97270936355577e+33;24.1;6.544403994150141e+34;25.200000000000003;25.200000000000003;25.200000000000003;25.200000000000003;25.200000000000003;2.9725746036271033e+31
494;-2849;3;1942;15;6.97270936355577e+33;24.400000000000002;6.544403994150141e+34;25.5;25.5;25.5;25.5;25.5;2.9725746036271033e+31
495;-2818;4;1942;15;6.97270936355577e+33;24.8;6.544403994150141e+34;25.700000000000003;25.700000000000003;25.700000000000003;25.700000000000003;25.700000000000003;2.9725746036271033e+31
496;-2788;5;1942;15;6.97270936355577e+33;25.6;6.544403994150141e+34;26.3;26.3;26.3;26.3;26.3;2.9725746036271033e+31
