index;time;month;year;day;Saint_James_Windward;Christ_Church_Nichola_Town;Saint_Paul_Charlestown;Saint_George_Gingerland;Saint_Anne_Sandy_Point;Saint_Paul_Capisterre;KNA;Saint_Mary_Cayon;Trinity_Palmetto_Point;Saint_George_Basseterre;Saint_Thomas_Lowland;Saint_Thomas_Middle_Island;Saint_Peter_Basseterre;Saint_John_Figtree;Saint_John_Capisterre
767;5462;12;1964;15;22.6;22.6;22.6;22.6;22.6;22.6;22.6;22.6;22.6;22.6;22.6;22.6;22.6;22.6;22.6
768;5493;1;1965;15;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5
769;5524;2;1965;15;22.900000000000002;22.900000000000002;22.900000000000002;22.900000000000002;22.900000000000002;22.900000000000002;22.900000000000002;22.900000000000002;22.900000000000002;22.900000000000002;22.900000000000002;22.900000000000002;22.900000000000002;22.900000000000002;22.900000000000002
770;5552;3;1965;15;23.8;23.8;23.8;23.8;23.8;23.8;23.8;23.8;23.8;23.8;23.8;23.8;23.8;23.8;23.8
771;5583;4;1965;15;23.200000000000003;23.200000000000003;23.200000000000003;23.200000000000003;23.200000000000003;23.200000000000003;23.200000000000003;23.200000000000003;23.200000000000003;23.200000000000003;23.200000000000003;23.200000000000003;23.200000000000003;23.200000000000003;23.200000000000003
772;5613;5;1965;15;24.400000000000002;24.400000000000002;24.400000000000002;24.400000000000002;24.400000000000002;24.400000000000002;24.400000000000002;24.400000000000002;24.400000000000002;24.400000000000002;24.400000000000002;24.400000000000002;24.400000000000002;24.400000000000002;24.400000000000002
773;5644;6;1965;15;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002
774;5674;7;1965;15;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002
775;5705;8;1965;15;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002
776;5736;9;1965;15;25.3;25.3;25.3;25.3;25.3;25.3;25.3;25.3;25.3;25.3;25.3;25.3;25.3;25.3;25.3
