index;time;month;year;day;Princes_Town;Penal-Debe;Port_of_Spain;Chaguanas;Point_Fortin;San_Juan-Laventille;Diego_Martin;Tobago;Arima;Couva-Tabaquite-Talparo;Siparia;TTO;San_Fernando;Tunapuna/Piarco;Sangre_Grande;Mayaro/Rio_Claro
1040;13771;9;1987;15;27.8;27.814985675489496;28.040389008043615;27.400260536233905;28.200000000000003;27.41288020280909;28.090186089139866;1.7090629194463591e+34;27.400000000000002;27.712340431881216;28.179205660012965;1.700103585635717e+35;27.80038878665686;27.400000000000002;8.27597870505608e+35;1.2900626098844994e+35
1041;13801;10;1987;15;28.200000000000003;28.222478513234247;28.440389008043613;27.800260536233903;28.8;27.81288020280909;28.490186089139865;1.7090629194463591e+34;27.8;28.112340431881215;28.768808490019442;1.700103585635717e+35;28.200583179985287;27.8;8.27597870505608e+35;1.2900626098844994e+35
1042;13832;11;1987;15;27.400000000000002;27.422478513234246;27.914841440062304;27.000260536233903;28.0;27.018400289727268;27.985980127342664;1.7090629194463591e+34;27.0;27.312340431881218;27.96880849001944;1.700103585635717e+35;27.400583179985286;27.0;8.27597870505608e+35;1.2900626098844994e+35
1043;13862;12;1987;15;27.0;27.014985675489495;27.340389008043616;26.70019540217543;27.400000000000002;26.712880202809092;27.39018608913987;1.7090629194463591e+34;26.700000000000003;26.93425532391091;27.379205660012964;1.700103585635717e+35;27.00038878665686;26.700000000000003;8.27597870505608e+35;1.2900626098844994e+35
1044;13893;1;1988;15;26.1;26.103746418872376;26.340389008043616;25.700260536233905;26.200000000000003;25.71288020280909;26.39018608913987;1.7090629194463591e+34;25.700000000000003;26.012340431881217;26.19480141500324;1.700103585635717e+35;26.100097196664215;25.700000000000003;8.27597870505608e+35;1.2900626098844994e+35
1045;13924;2;1988;15;26.400000000000002;26.403746418872377;26.623357296056078;25.800390804350855;26.5;25.816560260754542;26.687382114608404;1.7090629194463591e+34;25.8;26.26851064782182;26.49480141500324;1.700103585635717e+35;26.400097196664216;25.8;8.27597870505608e+35;1.2900626098844994e+35
1046;13953;3;1988;15;26.6;26.614985675489496;27.114841440062307;26.200260536233905;27.0;26.218400289727274;27.18598012734267;1.7090629194463591e+34;26.200000000000003;26.512340431881213;26.979205660012962;1.700103585635717e+35;26.600388786656858;26.200000000000003;8.27597870505608e+35;1.2900626098844994e+35
1047;13984;4;1988;15;27.8;27.796253581127626;28.206325584068537;27.200390804350857;27.700000000000003;27.220240318699997;28.28457814007693;1.7090629194463591e+34;27.200000000000003;27.668510647821822;27.70519858499676;1.700103585635717e+35;27.799902803335787;27.200000000000003;8.27597870505608e+35;1.2900626098844994e+35
1048;14014;5;1988;15;28.200000000000003;28.200000000000003;28.906325584068536;27.900195402175427;28.200000000000003;27.920240318699996;28.98457814007693;1.7090629194463591e+34;27.900000000000002;28.134255323910914;28.200000000000003;1.700103585635717e+35;28.200000000000003;27.900000000000002;8.27597870505608e+35;1.2900626098844994e+35
1049;14045;6;1988;15;27.6;27.633717769851362;28.389293872080998;27.200260536233905;28.5;27.223920376645452;28.481774165545463;1.7090629194463591e+34;27.200000000000003;27.512340431881217;28.453212735029165;1.700103585635717e+35;27.60087476997793;27.200000000000003;8.27597870505608e+35;1.2900626098844994e+35
1050;14075;7;1988;15;27.3;27.31873209436187;27.823357296056074;27.00019540217543;27.8;27.01656026075454;27.8873821146084;1.7090629194463591e+34;27.0;27.234255323910908;27.774007075016204;1.700103585635717e+35;27.30048598332107;27.0;8.27597870505608e+35;1.2900626098844994e+35
1051;14106;8;1988;15;27.6;27.61123925661712;27.831873152049845;27.100325670292378;27.900000000000002;27.114720231781817;27.888784101874133;1.7090629194463591e+34;27.1;27.49042553985152;27.884404245009723;1.700103585635717e+35;27.600291589992644;27.1;8.27597870505608e+35;1.2900626098844994e+35
1052;14137;9;1988;15;27.6;27.599999999999998;27.548904864037382;27.000390804350854;27.6;27.01104017383636;27.5915880764056;1.7090629194463591e+34;27.0;27.468510647821823;27.6;1.700103585635717e+35;27.6;27.0;8.27597870505608e+35;1.2900626098844994e+35
1053;14167;10;1988;15;27.6;27.607492837744747;27.465936576024923;27.100325670292378;27.8;27.10736011589091;27.494392050937066;1.7090629194463591e+34;27.1;27.49042553985152;27.789602830006483;1.700103585635717e+35;27.60019439332843;27.1;8.27597870505608e+35;1.2900626098844994e+35
