index;time;month;year;day;Princes_Town;Penal-Debe;Port_of_Spain;Chaguanas;Point_Fortin;San_Juan-Laventille;Diego_Martin;Tobago;Arima;Couva-Tabaquite-Talparo;Siparia;TTO;San_Fernando;Tunapuna/Piarco;Sangre_Grande;Mayaro/Rio_Claro
10;-17579;11;1901;15;184.8;183.13284360179367;160.4786045576013;195.69290038762622;140.3;194.99158884550025;157.73976509730744;1.7090629194463591e+34;195.70000000000002;187.18872323123702;142.61337032355797;1.700103585635717e+35;184.75674748442458;195.70000000000002;8.27597870505608e+35;1.2900626098844994e+35
11;-17549;12;1901;15;234.5;234.64985675489496;219.54184358484736;207.11784673202226;238.5;207.35024394029088;220.50932973186025;1.7090629194463591e+34;207.10000000000002;228.495319583863;238.29205660012963;1.700103585635717e+35;234.5038878665686;207.10000000000002;8.27597870505608e+35;1.2900626098844994e+35
12;-17518;1;1902;15;45.800000000000004;45.40662601840076;36.41922198391278;37.7052758587365;35.300000000000004;37.67423959438183;36.319627821720275;1.7090629194463591e+34;37.7;44.02489374559454;35.84585142465974;1.700103585635717e+35;45.78979435025749;37.7;8.27597870505608e+35;1.2900626098844994e+35
13;-17487;2;1902;15;34.800000000000004;34.556482773295706;28.617276943694716;33.10110727899408;28.3;33.0098385803364;28.268697376020945;1.7090629194463591e+34;33.1;34.427446835495154;28.63790802478936;1.700103585635717e+35;34.79368221682606;33.1;8.27597870505608e+35;1.2900626098844994e+35
14;-17459;3;1902;15;25.3;24.99279365246535;19.719467215619947;25.300000000000004;17.1;25.187758232663676;19.28552122320975;1.7090629194463591e+34;25.3;25.300000000000004;17.526283969734276;1.700103585635717e+35;25.292029873534418;25.3;8.27597870505608e+35;1.2900626098844994e+35
15;-17428;4;1902;15;35.0;34.46426210125055;22.591974607420575;31.10254022828054;20.700000000000003;30.92887730553642;21.930384815713218;1.7090629194463591e+34;31.1;34.14531921084181;21.443397654536604;1.700103585635717e+35;34.986100877017336;31.1;8.27597870505608e+35;1.2900626098844994e+35
16;-17398;5;1902;15;99.0;97.93976345911821;86.1009809268287;103.29719923548559;70.7;102.95407455312741;84.76357360595792;1.7090629194463591e+34;103.30000000000001;99.94234035727698;72.17119955408292;1.700103585635717e+35;98.97249334402731;103.30000000000001;8.27597870505608e+35;1.2900626098844994e+35
17;-17367;6;1902;15;256.1;253.46626753272125;200.52386457290976;245.9066436739645;185.8;244.9873456295276;196.99538568380385;1.7090629194463591e+34;245.9;253.86468101297092;189.45460525272188;1.700103585635717e+35;256.0316707450572;245.9;8.27597870505608e+35;1.2900626098844994e+35
18;-17337;7;1902;15;209.4;206.96482773295705;163.35354745303434;206.90162835146188;144.4;206.02414620898213;159.9673459384892;1.7090629194463591e+34;206.9;208.85212769925758;147.77908024789363;1.700103585635717e+35;209.33682216826062;206.9;8.27597870505608e+35;1.2900626098844994e+35
19;-17306;8;1902;15;198.70000000000002;196.96166164321855;161.07811409418696;187.7071647464323;152.3;187.16455156893656;159.0079782943285;1.7090629194463591e+34;187.70000000000002;196.28936187673332;154.71214343849638;1.700103585635717e+35;198.65490074780453;187.70000000000002;8.27597870505608e+35;1.2900626098844994e+35
20;-17275;9;1902;15;181.5;179.67924042802633;144.40245231707172;187.39615709054996;132.9;186.5351863828185;141.05893401489476;1.7090629194463591e+34;187.4;182.79297862975213;135.4265123084251;1.700103585635717e+35;181.45276242119178;187.4;8.27597870505608e+35;1.2900626098844994e+35
