index;time;month;year;day;Salt_Cay;Grand_Turk;South_Caicos_and_East_Caicos;Middle_Caicos;Providenciales_and_West_Caicos;North_Caicos;TCA
1098;15536;7;1992;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;79.9;81.30000000000001;80.26725662070126;9.099276877448907e+35
1099;15567;8;1992;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;92.4;96.60000000000001;93.5017698621038;9.099276877448907e+35
1100;15598;9;1992;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;156.3;141.6;152.44380548263672;9.099276877448907e+35
1101;15628;10;1992;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;106.9;117.30000000000001;109.62819203949512;9.099276877448907e+35
1102;15659;11;1992;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;57.5;53.1;56.34576490636744;9.099276877448907e+35
1103;15689;12;1992;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;68.7;58.6;66.050505807798;9.099276877448907e+35
1104;15720;1;1993;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;78.10000000000001;72.9;76.73590398025244;9.099276877448907e+35
1105;15751;2;1993;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;48.2;42.7;46.75720613295931;9.099276877448907e+35
1106;15779;3;1993;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;66.5;94.10000000000001;73.74020195096782;9.099276877448907e+35
1107;15810;4;1993;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;199.20000000000002;204.4;200.56409601974758;9.099276877448907e+35
1108;15840;5;1993;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;265.3;243.9;259.68622022642353;9.099276877448907e+35
1109;15871;6;1993;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;96.4;100.5;97.47553724633943;9.099276877448907e+35
1110;15901;7;1993;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;81.7;73.10000000000001;79.44399504426366;9.099276877448907e+35
1111;15932;8;1993;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;132.6;116.2;128.2978510146423;9.099276877448907e+35
1112;15963;9;1993;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;133.5;133.20000000000002;133.42130215270686;9.099276877448907e+35
