index;time;month;year;day;Christ_Church;Saint_James;Saint_Philip;Saint_Peter;Saint_John;Saint_George;Saint_Andrew;Saint_Lucy;Saint_Joseph;Saint_Michael;BRB;Saint_Thomas
344;-7413;9;1929;15;26.36145522016514;26.400000000000002;26.111196772760053;26.400000000000002;26.276465510820955;26.400000000000002;26.400000000000002;26.400000000000002;26.400000000000002;26.400000000000002;26.343106821264676;26.400000000000002
345;-7383;10;1929;15;26.374303480110097;26.400000000000002;26.20746451517337;26.400000000000002;26.31764367388064;26.400000000000002;26.400000000000002;26.400000000000002;26.400000000000002;26.400000000000002;26.362071214176453;26.400000000000002
346;-7352;11;1929;15;25.774303480110095;25.8;25.607464515173366;25.8;25.717643673880637;25.8;25.8;25.8;25.8;25.8;25.76207121417645;25.8
347;-7322;12;1929;15;24.974303480110095;25.0;24.807464515173365;25.0;24.917643673880637;25.0;25.0;25.0;25.0;25.0;24.962071214176447;25.0
348;-7291;1;1930;15;24.6;24.6;24.6;24.6;24.6;24.6;24.6;24.6;24.6;24.6;24.6;24.6
349;-7260;2;1930;15;24.58715174005505;24.6;24.503732257586684;24.6;24.558821836940318;24.6;24.6;24.6;24.6;24.6;24.581035607088225;24.6
350;-7232;3;1930;15;25.08715174005505;25.1;25.003732257586684;25.1;25.058821836940318;25.1;25.1;25.1;25.1;25.1;25.081035607088225;25.1
351;-7201;4;1930;15;25.574303480110093;25.6;25.40746451517337;25.6;25.517643673880634;25.6;25.6;25.6;25.6;25.6;25.562071214176452;25.6
352;-7171;5;1930;15;26.64860696022019;26.700000000000003;26.314929030346732;26.700000000000003;26.535287347761273;26.700000000000003;26.700000000000003;26.700000000000003;26.700000000000003;26.700000000000003;26.624142428352897;26.700000000000003
353;-7140;6;1930;15;26.435758700275233;26.5;26.018661287933416;26.5;26.29410918470159;26.5;26.5;26.5;26.5;26.5;26.405178035441118;26.5
