index;time;month;year;day;Christ_Church;Saint_James;Saint_Philip;Saint_Peter;Saint_John;Saint_George;Saint_Andrew;Saint_Lucy;Saint_Joseph;Saint_Michael;BRB;Saint_Thomas
1177;17942;2;1999;15;48.186529936201836;47.300000000000004;53.94247422651885;47.300000000000004;50.141293251118086;47.300000000000004;47.300000000000004;47.300000000000004;47.300000000000004;47.300000000000004;48.608543110912564;47.300000000000004
1178;17970;3;1999;15;186.99502556917435;179.8;233.70993575145732;179.8;202.8597713134221;179.8;179.8;179.8;179.8;179.8;190.4200600305947;179.8
1179;18001;4;1999;15;141.2490672942202;139.9;150.00811295339824;139.9;144.22370712126664;139.9;139.9;139.9;139.9;139.9;141.8912612557365;139.9
1180;18031;5;1999;15;39.06748771328441;37.5;49.24466457442463;37.5;42.52373589328124;37.5;37.5;37.5;37.5;37.5;39.8136559352367;37.5
1181;18062;6;1999;15;138.65526125719268;138.0;142.90965486307914;138.0;140.1000863160438;138.0;138.0;138.0;138.0;138.0;138.9671840385006;138.0
1182;18092;7;1999;15;249.84628121466056;248.60000000000002;257.9379710140917;248.60000000000002;252.5942818167892;248.60000000000002;248.60000000000002;248.60000000000002;248.60000000000002;248.60000000000002;250.43954611244234;248.60000000000002
1183;18123;8;1999;15;175.7569651988991;175.5;177.42535484826632;175.5;176.32356326119364;175.5;175.5;175.5;175.5;175.5;175.87928785823553;175.5
1184;18154;9;1999;15;252.16856985113765;250.10000000000002;265.599106528544;250.10000000000002;256.7296842526089;250.10000000000002;250.10000000000002;250.10000000000002;250.10000000000002;250.10000000000002;253.153267258796;250.10000000000002
1185;18184;10;1999;15;321.8767666199634;317.20000000000005;352.2414582384473;317.20000000000005;332.18885135372443;317.20000000000005;317.20000000000005;317.20000000000005;317.20000000000005;317.20000000000005;324.10303901988664;317.20000000000005
1186;18215;11;1999;15;188.11130578809176;190.0;175.84864186524246;190.0;183.9468100302267;190.0;190.0;190.0;190.0;190.0;187.21223424196893;190.0
1187;18245;12;1999;15;244.10570955341285;237.9;284.3973195856319;237.9;257.78905275782654;237.9;237.9;237.9;237.9;237.9;247.05980177638796;237.9
1188;18276;1;2000;15;154.41206498623856;151.20000000000002;175.2669356033292;151.20000000000002;161.4945407649206;151.20000000000002;151.20000000000002;151.20000000000002;151.20000000000002;151.20000000000002;155.94109822794408;151.20000000000002
1189;18307;2;2000;15;171.28420419064224;169.10000000000002;185.46551621026384;169.10000000000002;176.100287720146;169.10000000000002;169.10000000000002;169.10000000000002;169.10000000000002;169.10000000000002;172.323946795002;169.10000000000002
1190;18336;3;2000;15;119.75680372904587;117.2;136.35728074025;117.2;125.39445444887679;117.2;117.2;117.2;117.2;117.2;120.97391418944349;117.2
1191;18367;4;2000;15;98.72832112959634;96.30000000000001;114.49460331611685;96.30000000000001;104.08267281827996;96.30000000000001;96.30000000000001;96.30000000000001;96.30000000000001;96.30000000000001;99.88427026032572;96.30000000000001
1192;18397;5;2000;15;169.80416708155963;165.5;197.74969370846108;165.5;179.29468462499358;165.5;165.5;165.5;165.5;165.5;171.85307162544507;165.5
1193;18428;6;2000;15;147.665783771578;145.70000000000002;160.42896458923747;145.70000000000002;152.0002589481314;145.70000000000002;145.70000000000002;145.70000000000002;145.70000000000002;145.70000000000002;148.6015521155018;145.70000000000002
1194;18458;7;2000;15;155.5066542969725;154.8;160.09472583273242;154.8;157.06479896828256;154.8;154.8;154.8;154.8;154.8;155.8430416101477;154.8
1195;18489;8;2000;15;121.68777354390826;122.60000000000001;115.76499028865452;122.60000000000001;119.67635042276257;122.60000000000001;122.60000000000001;122.60000000000001;122.60000000000001;122.60000000000001;121.2535281032639;122.60000000000001
1196;18520;9;2000;15;225.5329726207156;225.70000000000002;224.4485193486269;225.70000000000002;225.16468388022415;225.70000000000002;225.70000000000002;225.70000000000002;225.70000000000002;225.70000000000002;225.45346289214694;225.70000000000002
1197;18550;10;2000;15;136.565323437578;136.0;140.23578066618595;136.0;137.81183917462602;136.0;136.0;136.0;136.0;136.0;136.83443328811816;136.0
1198;18581;11;2000;15;527.6023016700001;520.6;573.0659196152576;520.6;543.0420988675269;520.6;520.6;520.6;520.6;520.6;530.9355941369181;520.6
1199;18611;12;2000;15;197.2403861158349;191.60000000000002;233.86153891944602;191.60000000000002;209.67721358320054;191.60000000000002;191.60000000000002;191.60000000000002;191.60000000000002;191.60000000000002;199.9253684882698;191.60000000000002
1200;18642;1;2001;15;68.31098284838534;65.60000000000001;85.91249364920982;65.60000000000001;74.28859240559296;65.60000000000001;65.60000000000001;65.60000000000001;65.60000000000001;65.60000000000001;69.6014869043848;65.60000000000001
1201;18673;2;2001;15;80.83451509256882;79.10000000000001;92.09614522579776;79.10000000000001;84.65905201305712;79.10000000000001;79.10000000000001;79.10000000000001;79.10000000000001;79.10000000000001;81.6601930430898;79.10000000000001
1202;18701;3;2001;15;20.249689098073397;19.8;23.16937098446608;19.8;21.241235707088883;19.8;19.8;19.8;19.8;19.8;20.46375375191217;19.8
1203;18732;4;2001;15;37.612848259944954;37.6;37.69626774241332;37.6;37.641178163059685;37.6;37.6;37.6;37.6;37.6;37.61896439291178;37.6
1204;18762;5;2001;15;104.1589680047523;100.60000000000001;127.26616464848873;100.60000000000001;112.006351167532;100.60000000000001;100.60000000000001;100.60000000000001;100.60000000000001;100.60000000000001;105.85313683656203;100.60000000000001
1205;18793;6;2001;15;143.29813458844038;140.6;160.81622590679652;140.6;149.2474142425333;140.6;140.6;140.6;140.6;140.6;144.58252251147303;140.6
