index;time;month;year;day;Anegada;Virgin_Gorda;VGB;Tortola;Jost_Van_Dyke;Other_Islands
32;-16910;9;1903;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;160.10000000000002;160.10000000000002;1.2316434366167814e+36
33;-16880;10;1903;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;263.3;263.3;1.2316434366167814e+36
34;-16849;11;1903;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;169.8;169.8;1.2316434366167814e+36
35;-16819;12;1903;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;230.3;230.3;1.2316434366167814e+36
36;-16788;1;1904;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;100.0;100.0;1.2316434366167814e+36
37;-16757;2;1904;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;147.6;147.6;1.2316434366167814e+36
38;-16728;3;1904;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;131.3;131.3;1.2316434366167814e+36
39;-16697;4;1904;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;167.8;167.8;1.2316434366167814e+36
40;-16667;5;1904;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;113.0;113.0;1.2316434366167814e+36
41;-16636;6;1904;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;124.7;124.7;1.2316434366167814e+36
42;-16606;7;1904;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;181.3;181.3;1.2316434366167814e+36
43;-16575;8;1904;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;153.0;153.0;1.2316434366167814e+36
44;-16544;9;1904;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;378.3;378.3;1.2316434366167814e+36
45;-16514;10;1904;15;9.969209968386869e+36;9.969209968386869e+36;4.0952429796245545e+36;347.0;347.0;1.2316434366167814e+36
