index;time;month;year;day;Saint_Patrick;Saint_David;Carriacou;GRD;Saint_John;Saint_George;Saint_Andrew;Saint_Mark
805;6619;2;1968;15;25.200000000000003;25.200000000000003;9.969209968386869e+36;1.0906223705981703e+36;25.200000000000003;3.88360345819837e+35;25.200000000000003;25.200000000000003
806;6648;3;1968;15;25.700000000000003;25.700000000000003;9.969209968386869e+36;1.0906223705981703e+36;25.700000000000003;3.88360345819837e+35;25.700000000000003;25.700000000000003
807;6679;4;1968;15;26.400000000000002;26.400000000000002;9.969209968386869e+36;1.0906223705981703e+36;26.400000000000002;3.88360345819837e+35;26.400000000000002;26.400000000000002
808;6709;5;1968;15;27.1;27.1;9.969209968386869e+36;1.0906223705981703e+36;27.1;3.88360345819837e+35;27.1;27.1
809;6740;6;1968;15;27.1;27.1;9.969209968386869e+36;1.0906223705981703e+36;27.1;3.88360345819837e+35;27.1;27.1
810;6770;7;1968;15;26.5;26.5;9.969209968386869e+36;1.0906223705981703e+36;26.5;3.88360345819837e+35;26.5;26.5
811;6801;8;1968;15;27.0;27.0;9.969209968386869e+36;1.0906223705981703e+36;27.0;3.88360345819837e+35;27.0;27.0
812;6832;9;1968;15;27.1;27.1;9.969209968386869e+36;1.0906223705981703e+36;27.1;3.88360345819837e+35;27.1;27.1
813;6862;10;1968;15;27.1;27.1;9.969209968386869e+36;1.0906223705981703e+36;27.1;3.88360345819837e+35;27.1;27.1
814;6893;11;1968;15;26.6;26.6;9.969209968386869e+36;1.0906223705981703e+36;26.6;3.88360345819837e+35;26.6;26.6
815;6923;12;1968;15;25.8;25.8;9.969209968386869e+36;1.0906223705981703e+36;25.8;3.88360345819837e+35;25.8;25.8
816;6954;1;1969;15;25.200000000000003;25.200000000000003;9.969209968386869e+36;1.0906223705981703e+36;25.200000000000003;3.88360345819837e+35;25.200000000000003;25.200000000000003
817;6985;2;1969;15;25.400000000000002;25.400000000000002;9.969209968386869e+36;1.0906223705981703e+36;25.400000000000002;3.88360345819837e+35;25.400000000000002;25.400000000000002
818;7013;3;1969;15;27.1;27.1;9.969209968386869e+36;1.0906223705981703e+36;27.1;3.88360345819837e+35;27.1;27.1
819;7044;4;1969;15;27.200000000000003;27.200000000000003;9.969209968386869e+36;1.0906223705981703e+36;27.200000000000003;3.88360345819837e+35;27.200000000000003;27.200000000000003
820;7074;5;1969;15;28.400000000000002;28.400000000000002;9.969209968386869e+36;1.0906223705981703e+36;28.400000000000002;3.88360345819837e+35;28.400000000000002;28.400000000000002
821;7105;6;1969;15;27.8;27.8;9.969209968386869e+36;1.0906223705981703e+36;27.8;3.88360345819837e+35;27.8;27.8
822;7135;7;1969;15;27.400000000000002;27.400000000000002;9.969209968386869e+36;1.0906223705981703e+36;27.400000000000002;3.88360345819837e+35;27.400000000000002;27.400000000000002
