index;time;month;year;day;Saint_Anthon;Saint_Peter;MSR;Saint_Georges
217;-11278;2;1919;15;23.1;23.1;23.1;23.1
218;-11250;3;1919;15;23.0;23.0;23.0;23.0
219;-11219;4;1919;15;23.400000000000002;23.400000000000002;23.400000000000002;23.400000000000002
220;-11189;5;1919;15;25.1;25.1;25.1;25.1
221;-11158;6;1919;15;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002
222;-11128;7;1919;15;25.200000000000003;25.200000000000003;25.200000000000003;25.200000000000003
223;-11097;8;1919;15;25.700000000000003;25.700000000000003;25.700000000000003;25.700000000000003
224;-11066;9;1919;15;25.3;25.3;25.3;25.3
225;-11036;10;1919;15;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002
226;-11005;11;1919;15;24.3;24.3;24.3;24.3
227;-10975;12;1919;15;23.8;23.8;23.8;23.8
228;-10944;1;1920;15;23.200000000000003;23.200000000000003;23.200000000000003;23.200000000000003
229;-10913;2;1920;15;23.200000000000003;23.200000000000003;23.200000000000003;23.200000000000003
230;-10884;3;1920;15;23.3;23.3;23.3;23.3
231;-10853;4;1920;15;23.8;23.8;23.8;23.8
232;-10823;5;1920;15;25.1;25.1;25.1;25.1
233;-10792;6;1920;15;25.200000000000003;25.200000000000003;25.200000000000003;25.200000000000003
234;-10762;7;1920;15;25.3;25.3;25.3;25.3
235;-10731;8;1920;15;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002
236;-10700;9;1920;15;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002
237;-10670;10;1920;15;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002
238;-10639;11;1920;15;24.5;24.5;24.5;24.5
239;-10609;12;1920;15;23.700000000000003;23.700000000000003;23.700000000000003;23.700000000000003
240;-10578;1;1921;15;23.3;23.3;23.3;23.3
241;-10547;2;1921;15;23.200000000000003;23.200000000000003;23.200000000000003;23.200000000000003
242;-10519;3;1921;15;23.0;23.0;23.0;23.0
243;-10488;4;1921;15;22.900000000000002;22.900000000000002;22.900000000000002;22.900000000000002
244;-10458;5;1921;15;24.6;24.6;24.6;24.6
245;-10427;6;1921;15;25.700000000000003;25.700000000000003;25.700000000000003;25.700000000000003
246;-10397;7;1921;15;25.0;25.0;25.0;25.0
247;-10366;8;1921;15;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002
248;-10335;9;1921;15;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002
249;-10305;10;1921;15;25.200000000000003;25.200000000000003;25.200000000000003;25.200000000000003
250;-10274;11;1921;15;24.6;24.6;24.6;24.6
251;-10244;12;1921;15;23.8;23.8;23.8;23.8
252;-10213;1;1922;15;23.1;23.1;23.1;23.1
253;-10182;2;1922;15;22.900000000000002;22.900000000000002;22.900000000000002;22.900000000000002
254;-10154;3;1922;15;22.700000000000003;22.700000000000003;22.700000000000003;22.700000000000003
255;-10123;4;1922;15;22.700000000000003;22.700000000000003;22.700000000000003;22.700000000000003
256;-10093;5;1922;15;24.5;24.5;24.5;24.5
257;-10062;6;1922;15;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002
258;-10032;7;1922;15;25.3;25.3;25.3;25.3
259;-10001;8;1922;15;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002
260;-9970;9;1922;15;25.5;25.5;25.5;25.5
261;-9940;10;1922;15;25.1;25.1;25.1;25.1
262;-9909;11;1922;15;24.400000000000002;24.400000000000002;24.400000000000002;24.400000000000002
263;-9879;12;1922;15;23.5;23.5;23.5;23.5
264;-9848;1;1923;15;22.700000000000003;22.700000000000003;22.700000000000003;22.700000000000003
265;-9817;2;1923;15;22.6;22.6;22.6;22.6
266;-9789;3;1923;15;22.6;22.6;22.6;22.6
267;-9758;4;1923;15;23.1;23.1;23.1;23.1
268;-9728;5;1923;15;25.3;25.3;25.3;25.3
269;-9697;6;1923;15;24.8;24.8;24.8;24.8
270;-9667;7;1923;15;25.3;25.3;25.3;25.3
271;-9636;8;1923;15;25.6;25.6;25.6;25.6
272;-9605;9;1923;15;25.6;25.6;25.6;25.6
273;-9575;10;1923;15;25.3;25.3;25.3;25.3
274;-9544;11;1923;15;24.700000000000003;24.700000000000003;24.700000000000003;24.700000000000003
275;-9514;12;1923;15;23.400000000000002;23.400000000000002;23.400000000000002;23.400000000000002
276;-9483;1;1924;15;23.1;23.1;23.1;23.1
277;-9452;2;1924;15;22.8;22.8;22.8;22.8
278;-9423;3;1924;15;23.6;23.6;23.6;23.6
279;-9392;4;1924;15;24.0;24.0;24.0;24.0
280;-9362;5;1924;15;25.200000000000003;25.200000000000003;25.200000000000003;25.200000000000003
281;-9331;6;1924;15;25.1;25.1;25.1;25.1
282;-9301;7;1924;15;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002
283;-9270;8;1924;15;25.700000000000003;25.700000000000003;25.700000000000003;25.700000000000003
284;-9239;9;1924;15;25.6;25.6;25.6;25.6
285;-9209;10;1924;15;25.200000000000003;25.200000000000003;25.200000000000003;25.200000000000003
286;-9178;11;1924;15;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002
287;-9148;12;1924;15;24.0;24.0;24.0;24.0
288;-9117;1;1925;15;23.0;23.0;23.0;23.0
289;-9086;2;1925;15;22.5;22.5;22.5;22.5
290;-9058;3;1925;15;22.900000000000002;22.900000000000002;22.900000000000002;22.900000000000002
291;-9027;4;1925;15;23.8;23.8;23.8;23.8
292;-8997;5;1925;15;25.1;25.1;25.1;25.1
293;-8966;6;1925;15;25.200000000000003;25.200000000000003;25.200000000000003;25.200000000000003
294;-8936;7;1925;15;25.200000000000003;25.200000000000003;25.200000000000003;25.200000000000003
295;-8905;8;1925;15;25.8;25.8;25.8;25.8
296;-8874;9;1925;15;25.700000000000003;25.700000000000003;25.700000000000003;25.700000000000003
297;-8844;10;1925;15;25.400000000000002;25.400000000000002;25.400000000000002;25.400000000000002
298;-8813;11;1925;15;24.8;24.8;24.8;24.8
