index;time;month;year;day;Saint_Anthon;Saint_Peter;MSR;Saint_Georges
39;-16697;4;1904;15;154.60000000000002;154.60000000000002;154.60000000000002;154.60000000000002
40;-16667;5;1904;15;178.4;178.4;178.4;178.4
41;-16636;6;1904;15;124.10000000000001;124.10000000000001;124.10000000000001;124.10000000000001
42;-16606;7;1904;15;218.9;218.9;218.9;218.9
43;-16575;8;1904;15;203.5;203.5;203.5;203.5
44;-16544;9;1904;15;385.6;385.6;385.6;385.6
45;-16514;10;1904;15;344.20000000000005;344.20000000000005;344.20000000000005;344.20000000000005
46;-16483;11;1904;15;264.3;264.3;264.3;264.3
47;-16453;12;1904;15;166.9;166.9;166.9;166.9
48;-16422;1;1905;15;202.4;202.4;202.4;202.4
49;-16391;2;1905;15;95.0;95.0;95.0;95.0
50;-16363;3;1905;15;156.10000000000002;156.10000000000002;156.10000000000002;156.10000000000002
51;-16332;4;1905;15;134.0;134.0;134.0;134.0
52;-16302;5;1905;15;195.9;195.9;195.9;195.9
53;-16271;6;1905;15;173.60000000000002;173.60000000000002;173.60000000000002;173.60000000000002
54;-16241;7;1905;15;170.4;170.4;170.4;170.4
55;-16210;8;1905;15;248.3;248.3;248.3;248.3
56;-16179;9;1905;15;320.0;320.0;320.0;320.0
57;-16149;10;1905;15;390.0;390.0;390.0;390.0
58;-16118;11;1905;15;337.3;337.3;337.3;337.3
59;-16088;12;1905;15;156.10000000000002;156.10000000000002;156.10000000000002;156.10000000000002
60;-16057;1;1906;15;107.60000000000001;107.60000000000001;107.60000000000001;107.60000000000001
61;-16026;2;1906;15;94.9;94.9;94.9;94.9
62;-15998;3;1906;15;120.80000000000001;120.80000000000001;120.80000000000001;120.80000000000001
63;-15967;4;1906;15;145.8;145.8;145.8;145.8
64;-15937;5;1906;15;169.20000000000002;169.20000000000002;169.20000000000002;169.20000000000002
65;-15906;6;1906;15;251.8;251.8;251.8;251.8
66;-15876;7;1906;15;279.40000000000003;279.40000000000003;279.40000000000003;279.40000000000003
67;-15845;8;1906;15;190.5;190.5;190.5;190.5
68;-15814;9;1906;15;456.1;456.1;456.1;456.1
69;-15784;10;1906;15;220.9;220.9;220.9;220.9
70;-15753;11;1906;15;264.5;264.5;264.5;264.5
71;-15723;12;1906;15;222.10000000000002;222.10000000000002;222.10000000000002;222.10000000000002
72;-15692;1;1907;15;125.80000000000001;125.80000000000001;125.80000000000001;125.80000000000001
73;-15661;2;1907;15;110.10000000000001;110.10000000000001;110.10000000000001;110.10000000000001
74;-15633;3;1907;15;111.10000000000001;111.10000000000001;111.10000000000001;111.10000000000001
75;-15602;4;1907;15;125.2;125.2;125.2;125.2
76;-15572;5;1907;15;198.5;198.5;198.5;198.5
77;-15541;6;1907;15;163.0;163.0;163.0;163.0
78;-15511;7;1907;15;219.4;219.4;219.4;219.4
79;-15480;8;1907;15;178.70000000000002;178.70000000000002;178.70000000000002;178.70000000000002
80;-15449;9;1907;15;229.20000000000002;229.20000000000002;229.20000000000002;229.20000000000002
81;-15419;10;1907;15;289.90000000000003;289.90000000000003;289.90000000000003;289.90000000000003
82;-15388;11;1907;15;233.3;233.3;233.3;233.3
83;-15358;12;1907;15;306.90000000000003;306.90000000000003;306.90000000000003;306.90000000000003
84;-15327;1;1908;15;164.5;164.5;164.5;164.5
85;-15296;2;1908;15;97.5;97.5;97.5;97.5
