index;time;month;year;day;GLP;Basse-Terre;Pointe-a-Pitre
353;-7140;6;1930;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
354;-7110;7;1930;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
355;-7079;8;1930;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
356;-7048;9;1930;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
357;-7018;10;1930;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
358;-6987;11;1930;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
359;-6957;12;1930;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
360;-6926;1;1931;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
361;-6895;2;1931;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
362;-6867;3;1931;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
363;-6836;4;1931;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
364;-6806;5;1931;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
365;-6775;6;1931;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
366;-6745;7;1931;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
367;-6714;8;1931;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
368;-6683;9;1931;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
369;-6653;10;1931;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
370;-6622;11;1931;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
371;-6592;12;1931;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
372;-6561;1;1932;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
373;-6530;2;1932;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
374;-6501;3;1932;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
375;-6470;4;1932;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
376;-6440;5;1932;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
377;-6409;6;1932;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
378;-6379;7;1932;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
379;-6348;8;1932;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
380;-6317;9;1932;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
381;-6287;10;1932;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
382;-6256;11;1932;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
383;-6226;12;1932;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
384;-6195;1;1933;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
385;-6164;2;1933;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
386;-6136;3;1933;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
387;-6105;4;1933;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
388;-6075;5;1933;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
389;-6044;6;1933;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
390;-6014;7;1933;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
391;-5983;8;1933;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
392;-5952;9;1933;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
393;-5922;10;1933;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
394;-5891;11;1933;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
395;-5861;12;1933;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
396;-5830;1;1934;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
397;-5799;2;1934;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
398;-5771;3;1934;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
399;-5740;4;1934;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
400;-5710;5;1934;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
401;-5679;6;1934;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
402;-5649;7;1934;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
403;-5618;8;1934;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
404;-5587;9;1934;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
405;-5557;10;1934;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
406;-5526;11;1934;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
407;-5496;12;1934;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
408;-5465;1;1935;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
409;-5434;2;1935;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
410;-5406;3;1935;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
411;-5375;4;1935;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
412;-5345;5;1935;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
413;-5314;6;1935;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
414;-5284;7;1935;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
415;-5253;8;1935;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
416;-5222;9;1935;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
417;-5192;10;1935;15;4.033728611420335e+35;7.451911721250831e+35;2.3903870590014613e+34
