index;time;month;year;day;Le_Marin;MTQ;Fort-de-France;Saint-Pierre;Le_Trinite
605;530;6;1951;15;26.123322750009542;25.47189190648055;25.156218669418074;24.700000000000003;25.33330522603804
606;560;7;1951;15;26.191946089353138;25.55892138484226;25.25621866941807;24.8;25.426893735413046
607;591;8;1951;15;26.484224366599015;25.856223456425777;25.556218669418072;25.1;25.72689373541305
608;622;9;1951;15;26.3483586538796;25.69243666957464;25.381564151052412;24.900000000000002;25.55744683807489
609;652;10;1951;15;26.36429186902776;25.70001133437996;25.381564151052412;24.900000000000002;25.56385832869988
610;683;11;1951;15;26.05657014627364;25.397313405963473;25.08156415105241;24.6;25.263858328699882
611;713;12;1951;15;24.96429186902776;24.30001133437996;23.98156415105241;23.5;24.163858328699877
612;744;1;1952;15;24.15980281696475;23.44919506916711;23.106909632686747;22.6;23.300822921986715
613;775;2;1952;15;24.300771935982965;23.577314497066517;23.232255114321084;22.700000000000003;23.431376024648557
614;804;3;1952;15;24.91993782182223;24.136770825075477;23.757600595955424;23.200000000000003;23.974752108560377
615;835;4;1952;15;25.452081094210627;24.746497140750627;24.406909632686748;23.900000000000002;24.600822921986715
616;865;5;1952;15;26.503390252438287;25.81567978443474;25.481564151052407;25.0;25.670269819324872
617;896;6;1952;15;26.615601027255423;25.96919397806407;25.656218669418074;25.200000000000003;25.833305226038036
618;926;7;1952;15;25.991946089353142;25.35892138484226;25.056218669418072;24.6;25.22689373541305
619;957;8;1952;15;26.584224366599017;25.95622345642578;25.656218669418074;25.200000000000003;25.82689373541305
620;988;9;1952;15;26.3483586538796;25.69243666957464;25.381564151052412;24.900000000000002;25.55744683807489
621;1018;10;1952;15;26.652081094210626;25.94649714075063;25.606909632686747;25.1;25.80082292198671
622;1049;11;1952;15;25.65657014627364;24.997313405963475;24.681564151052413;24.200000000000003;24.863858328699884
623;1079;12;1952;15;24.47201359178188;23.80270926279644;23.48156415105241;23.0;23.663858328699877
624;1110;1;1953;15;24.152081094210626;23.44649714075063;23.106909632686747;22.6;23.300822921986715
