index;time;month;year;day;VIR;Saint_John;Saint_Croix;Saint_Thomas
40;-16667;5;1904;15;113.45991904131355;113.0;113.80000000000001;112.88891965672946
41;-16636;6;1904;15;115.04547483008031;124.7;108.7;125.06656513279282
42;-16606;7;1904;15;181.89596755687836;181.3;181.70000000000002;182.73293642819007
43;-16575;8;1904;15;151.44299327986997;153.0;150.3;153.35545709846573
44;-16544;9;1904;15;388.20889887169767;378.3;393.0;382.1878120144692
45;-16514;10;1904;15;345.117557812508;347.0;341.90000000000003;351.97639937852057
46;-16483;11;1904;15;275.3212817503015;287.8;266.1;290.7991692683048
47;-16453;12;1904;15;110.7804469256998;114.4;108.30000000000001;114.78878120144692
48;-16422;1;1905;15;276.14116324129895;286.3;267.40000000000003;291.7984769918922
49;-16391;2;1905;15;84.39163937180187;89.30000000000001;80.9;90.14421060885618
50;-16363;3;1905;15;125.53162284717332;126.60000000000001;124.2;128.1995569430959
51;-16332;4;1905;15;84.56758499679155;86.80000000000001;83.0;87.13324102981166
52;-16302;5;1905;15;234.8648982872352;247.10000000000002;225.8;250.09916926830482
53;-16271;6;1905;15;136.43303458452206;137.0;135.8;137.6664820596233
54;-16241;7;1905;15;142.36705674250342;147.3;138.9;148.0442382999127
55;-16210;8;1905;15;248.1202028498168;251.3;245.20000000000002;253.47717472810277
56;-16179;9;1905;15;300.6768700358813;295.40000000000003;303.1;297.7882273803168
57;-16149;10;1905;15;350.9968465296542;344.3;353.3;349.24307527553947
58;-16118;11;1905;15;251.86699064860204;248.5;253.10000000000002;250.79936310570034
59;-16088;12;1905;15;140.1021928661334;150.1;133.20000000000002;151.2996677073219
60;-16057;1;1906;15;71.3766965595714;75.2;68.9;75.25554017163526
61;-16026;2;1906;15;80.75702121962617;85.2;77.60000000000001;85.95534633423974
62;-15998;3;1906;15;103.60264181235276;108.0;100.30000000000001;109.18855967299487
63;-15967;4;1906;15;85.67374788789542;85.60000000000001;85.60000000000001;85.89991692683049
64;-15937;5;1906;15;117.85568337847324;120.4;116.2;120.45554017163528
65;-15906;6;1906;15;257.8156094776646;255.70000000000002;257.90000000000003;258.8546817488836
66;-15876;7;1906;15;306.0844034428804;307.8;303.40000000000003;311.7211361174504
67;-15845;8;1906;15;87.62848371915202;84.5;90.0;83.60024921950854
68;-15814;9;1906;15;540.6047157048508;533.0;542.8000000000001;539.6537125619059
69;-15784;10;1906;15;111.72709924467269;111.2;112.2;110.86675897018836
70;-15753;11;1906;15;152.5281859474519;150.6;153.60000000000002;151.01099727010103
71;-15723;12;1906;15;256.3670650857099;268.5;247.0;272.41002808312334
72;-15692;1;1907;15;115.95733101028296;121.80000000000001;111.7;123.05520787895722
73;-15661;2;1907;15;115.59386730309909;121.9;110.9;123.4995569430959
74;-15633;3;1907;15;75.36582959883293;77.30000000000001;73.9;77.85540171635274
75;-15602;4;1907;15;64.37184792250125;65.7;63.6;65.50005538211302
76;-15572;5;1907;15;159.2859163392943;160.20000000000002;158.3;161.1886150551079
77;-15541;6;1907;15;160.4337334739044;166.70000000000002;155.9;167.96631591328426
78;-15511;7;1907;15;202.61088558677886;204.4;200.70000000000002;206.28836583559934
79;-15480;8;1907;15;116.97195201289999;119.9;115.2;119.63340717615068
